table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
78,4,499,424,75,8,5,3,0.056112224448897796,0.8576754385964912,0.3571428571428572,0.9761904761904763,0.6190476190476191,0.4,1.0,0.6
79,3,477,405,72,16,13,3,0.049528301886792456,0.8465812625405155,0.5205882352941177,0.07941176470588236,-0.1117835280139288,0.2,0.4,0.0
80,2,495,421,74,13,10,3,0.04926184926184926,0.9590643274853801,0.5604395604395606,0.44715628063054186,0.3814592044738091,0.6,0.6,0.6
81,2,491,417,74,13,7,6,0.05013316622277926,0.9212121212121211,0.6538461538461539,0.8170571691028833,0.4910078850584617,0.6,0.8,0.8
82,2,448,381,67,11,6,5,0.05377435064935065,0.9594594594594594,0.8181818181818182,0.6978631577988532,-0.02974089582579659,1.0,1.0,0.6
83,3,462,393,69,13,6,7,0.048784548784548784,0.8412698412698413,0.33562617720724497,0.8301640858959105,0.43237593851945566,0.4,0.8,0.4
84,4,491,419,72,8,5,3,0.05779022403258656,0.865625,0.8503146459584138,0.8383383833392812,0.7857142857142858,0.8,0.8,0.8
85,2,431,366,65,15,14,1,0.04686774941995359,0.9102316602316602,0.48078660842603477,0.2452780713648895,0.15936860308213677,0.4,0.6,0.4
86,2,454,386,68,16,12,4,0.06291299559471365,0.7736842105263158,0.2647058823529412,-0.1411764705882353,0.18007228448590207,0.4,0.4,0.4
87,3,462,392,70,10,6,4,0.05670995670995671,0.672979797979798,0.2127669402880226,0.5272727272727272,0.09203146787097731,0.6,0.6,0.4
88,3,405,345,60,12,10,2,0.0551440329218107,0.7717236467236468,0.6433566433566434,0.25874125874125875,-0.32924744011902274,0.6,0.6,0.2
89,2,478,407,71,11,8,3,0.05287181437809053,0.9297619047619048,0.3272727272727273,0.6102160571171791,0.18482593067917227,0.8,0.8,0.4
